,city_name,lat,long,temp,cloudiness,humidity,wind_speed,country_code,date_of_measurement
134,salalah,17.02,54.09,77.0,0,27,10.29,OM,1608667196
135,severo-kurilsk,50.68,156.12,21.47,93,89,26.66,RU,1608667196
136,oksfjord,70.24,22.35,37.4,0,69,13.87,NO,1608667196
137,acajutla,13.59,-89.83,84.2,20,48,3.36,SV,1608666995
138,te anau,-45.42,167.72,56.48,100,87,3.2,NZ,1608667196
139,esperance,-33.87,121.9,51.8,0,87,10.29,AU,1608667196
140,dire dawa,9.59,41.87,67.48,3,54,1.07,ET,1608667196
141,rebrikha,53.07,82.34,6.58,100,94,13.53,RU,1608667196
142,wanning,18.8,110.4,65.62,100,88,8.79,CN,1608667196
143,cloquet,46.72,-92.46,26.01,90,92,9.17,US,1608666924
144,castro,-24.79,-50.01,70.92,52,88,6.33,BR,1608667196
145,fortuna,40.6,-124.16,50.0,1,76,9.17,US,1608667197
146,sitka,57.05,-135.33,39.2,75,69,13.87,US,1608667075
147,haines junction,60.75,-137.51,17.64,100,92,4.47,CA,1608667197
148,bethel,41.37,-73.41,43.0,90,56,13.87,US,1608667197
149,diffa,13.32,12.61,71.94,24,22,6.98,NE,1608667197
150,belmonte,-15.86,-38.88,82.4,40,65,17.22,BR,1608667197
151,clyde river,70.47,-68.59,3.2,100,91,47.2,CA,1608667197
152,fairmount,43.05,-76.24,39.2,90,60,18.34,US,1608667197
153,acatic,20.78,-102.88,77.0,75,22,4.7,MX,1608667197
154,bengkulu,-3.8,102.27,75.92,89,82,4.25,ID,1608667023
155,mahebourg,-20.41,57.7,77.0,40,88,13.87,MU,1608667197
156,upernavik,72.79,-56.15,25.9,100,89,8.84,GL,1608667197
157,hamilton,39.18,-84.53,46.0,1,52,3.36,US,1608666944
158,hasaki,35.73,140.83,28.4,20,92,2.24,JP,1608667197
159,taltal,-25.4,-70.48,67.69,23,58,6.02,CL,1608667197
160,amapa,1.0,-52.0,89.06,100,48,4.88,BR,1608667197
161,cheney,47.49,-117.58,37.99,40,47,19.46,US,1608667197
162,noshiro,40.2,140.02,40.71,100,76,3.67,JP,1608667043
163,kuytun,54.34,101.5,-0.6,100,92,4.21,RU,1608667198
164,mto wa mbu,-3.35,35.85,72.72,0,65,6.73,TZ,1608667198
165,roma,43.21,-75.46,35.01,90,86,9.17,US,1608667198
166,kushima,31.46,131.23,39.0,0,69,3.0,JP,1608667198
167,khandyga,62.67,135.6,-46.84,72,78,1.07,RU,1608667198
168,nizhnyaya omka,55.43,74.94,7.07,93,95,8.32,RU,1608667198
169,sala,34.04,-6.82,59.0,0,100,3.36,MA,1608666953
170,vila velha,-20.33,-40.29,87.01,40,74,16.11,BR,1608667142
171,bani,18.28,-70.33,87.8,40,66,4.7,DO,1608666964
172,san cristobal,7.77,-72.22,86.0,80,62,11.41,VE,1608667198
173,kodiak,57.79,-152.41,41.0,1,65,4.43,US,1608667198
174,mocuba,-16.84,36.99,75.81,35,91,4.36,MZ,1608667198
175,mayo,38.89,-76.51,48.99,75,57,14.99,US,1608667198
176,ostrovnoy,68.05,39.51,31.84,100,97,2.98,RU,1608667198
177,sal rei,16.18,-22.92,73.4,20,69,13.87,CV,1608667198
178,norfolk,42.17,-71.25,43.0,29,64,1.99,US,1608666651
179,karratha,-20.74,116.85,82.44,84,56,9.64,AU,1608667198
180,husavik,66.04,-17.34,17.6,20,78,9.17,IS,1608667198
181,avera,33.19,-82.53,64.4,1,20,9.17,US,1608667198
182,zemio,5.03,25.14,78.15,95,41,3.83,CF,1608667199
183,naryan-mar,67.67,53.09,-7.89,57,88,12.75,RU,1608667199
184,rundu,-17.93,19.77,72.7,100,78,10.04,NA,1608667199
185,miraflores,19.22,-98.81,71.6,20,35,2.98,MX,1608667199
186,hay river,60.82,-115.8,-18.4,88,75,2.86,CA,1608667199
187,saint george,37.1,-113.58,57.0,1,39,5.82,US,1608667119
188,conceicao da barra,-18.59,-39.73,80.83,31,75,11.63,BR,1608667199
189,gagino,55.23,45.03,11.1,7,96,8.5,RU,1608667199
190,zacualpa,15.08,-90.83,73.0,90,88,4.7,GT,1608667199
191,tambopata,-12.73,-69.18,71.6,90,100,5.82,PE,1608667199
192,faanui,-16.48,-151.75,80.58,100,68,5.28,PF,1608667199
193,kaitangata,-46.28,169.85,59.0,100,98,1.01,NZ,1608667199
194,padang,-0.95,100.35,78.08,100,81,3.6,ID,1608667199
195,talnakh,69.49,88.4,-43.6,40,64,4.47,RU,1608667199
196,zhezkazgan,47.8,67.71,-7.2,0,84,3.65,KZ,1608667199
197,yunhe,34.08,119.72,38.25,100,72,4.25,CN,1608667199
198,ancud,-41.87,-73.82,64.4,40,63,8.05,CL,1608667199
199,dunedin,-45.87,170.5,57.99,100,88,1.01,NZ,1608667054
200,agropoli,40.35,15.0,53.01,81,90,1.99,IT,1608667200
201,yakeshi,49.28,120.73,2.43,100,92,3.2,CN,1608667200
202,vila franca do campo,37.72,-25.43,55.4,40,71,12.75,PT,1608667200
203,labuhan,-6.88,112.21,77.95,71,84,13.82,ID,1608667200
204,khanpur,28.65,70.66,59.11,0,34,6.8,PK,1608667200
205,pangody,65.85,74.49,-33.97,0,83,3.98,RU,1608667200
206,vestmannaeyjar,63.44,-20.27,29.7,0,89,14.54,IS,1608667201
207,grindavik,63.84,-22.43,32.0,90,87,11.41,IS,1608667201
208,narsaq,60.92,-46.05,28.4,75,74,1.12,GL,1608667201
209,zverinogolovskoye,54.46,64.85,10.78,97,95,8.84,RU,1608667201
210,leningradskiy,69.38,178.42,-10.3,100,88,13.6,RU,1608667201
211,gidole,5.65,37.37,62.71,53,63,2.53,ET,1608667202
212,frome,51.23,-2.32,52.0,66,95,3.0,GB,1608667202
213,kijang,35.24,129.21,28.4,0,79,4.7,KR,1608667208
214,matola,-25.96,32.46,80.6,20,83,16.11,MZ,1608667208
215,alberton,46.82,-64.07,33.8,100,100,32.21,CA,1608667212
216,balkanabat,39.51,54.37,38.32,0,73,7.2,TM,1608667217
217,camacha,33.08,-16.33,59.0,20,87,1.12,PT,1608667218
218,college,64.86,-147.8,35.6,75,92,11.41,US,1608666967
219,senneterre,48.38,-77.23,12.2,90,85,10.29,CA,1608667221
220,lagoa,39.05,-27.98,55.99,55,67,23.29,PT,1608667221
221,hazorasp,41.32,61.07,21.2,90,67,6.93,UZ,1608667222
222,kavieng,-2.57,150.8,81.7,67,79,8.66,PG,1608667222
223,lesnoy,57.62,63.08,21.34,95,95,11.43,RU,1608667222
224,chuy,-33.7,-53.46,69.12,0,53,8.59,UY,1608667222
225,araouane,18.9,-3.53,64.09,0,29,12.53,ML,1608667222
226,sorong,-0.88,131.25,81.84,96,79,9.06,ID,1608667222
